科学部,受理申请项数,受理申请金额,批准资助项数,批准资助金额,资助金额比例（占全委）,资助金额比例（占学部）,单项平均资助金额,资助率（项数）,资助率（金额）
地球科学部,558,72540.00,40,5200.00,10.00%,100.00%,130.00,7.17%,7.17%
地理学,111,14430.00,6,780.00,1.50%,15.00%,130.00,5.41%,5.41%
地质学,88,11440.00,6,780.00,1.50%,15.00%,130.00,6.82%,6.82%
地球化学,21,2730.00,4,520.00,1.00%,10.00%,130.00,19.05%,19.05%
地球物理学和空间物理学,69,8970.00,5,650.00,1.25%,12.50%,130.00,7.25%,7.25%
大气科学学科,52,6760.00,5,650.00,1.25%,12.50%,130.00,9.62%,9.62%
海洋科学,63,8190.00,5,650.00,1.25%,12.50%,130.00,7.94%,7.94%
环境地球科学和土壤学,154,20020.00,9,1170.00,2.25%,22.50%,130.00,5.84%,5.84%
工程与材料科学部,1013,131690.00,74,9620.00,18.50%,100.00%,130.00,7.31%,7.31%
金属材料学科,94,12220.00,7,910.00,1.75%,9.46%,130.00,7.45%,7.45%
无机非金属材料学科,138,17940.00,11,1430.00,2.75%,14.86%,130.00,7.97%,7.97%
有机高分子材料学科,102,13260.00,8,1040.00,2.00%,10.81%,130.00,7.84%,7.84%
冶金与矿业学科,106,13780.00,7,910.00,1.75%,9.46%,130.00,6.60%,6.60%
机械工程学科,120,15600.00,9,1170.00,2.25%,12.16%,130.00,7.50%,7.50%
工程热物理与能源利用学科,89,11570.00,6,780.00,1.50%,8.11%,130.00,6.74%,6.74%
电气科学与工程学科,77,10010.00,6,780.00,1.50%,8.11%,130.00,7.79%,7.79%
建筑环境与结构工程学科,162,21060.00,12,1560.00,3.00%,16.22%,130.00,7.41%,7.41%
水利科学与海洋工程学科,125,16250.00,8,1040.00,2.00%,10.81%,130.00,6.40%,6.40%
信息科学部,869,112970.00,60,7800.00,15.00%,100.00%,130.00,6.90%,6.90%
电子学与信息系统,245,31850.00,15,1950.00,3.75%,25.00%,130.00,6.12%,6.12%
计算机科学学科,122,15860.00,10,1300.00,2.50%,16.67%,130.00,8.20%,8.20%
自动化学科,249,32370.00,17,2210.00,4.25%,28.33%,130.00,6.83%,6.83%
半导体科学、光学和光电子学,253,32890.00,18,2340.00,4.50%,30.00%,130.00,7.11%,7.11%
管理科学部,189,24570.00,14,1820.00,3.50%,100.00%,130.00,7.41%,7.41%
管理综合处,189,24570.00,14,1820.00,3.50%,100.00%,130.00,7.41%,7.41%
医学科学部,630,81900.00,50,6500.00,12.50%,100.00%,130.00,7.94%,7.94%
医学一处,58,7540.00,5,650.00,1.25%,10.00%,130.00,8.62%,8.62%
医学二处,85,11050.00,7,910.00,1.75%,14.00%,130.00,8.24%,8.24%
医学三处,53,6890.00,6,780.00,1.50%,12.00%,130.00,11.32%,11.32%
医学四处,35,4550.00,3,390.00,0.75%,6.00%,130.00,8.57%,8.57%
医学五处,67,8710.00,5,650.00,1.25%,10.00%,130.00,7.46%,7.46%
医学六处,51,6630.00,4,520.00,1.00%,8.00%,130.00,7.84%,7.84%
医学七处,101,13130.00,7,910.00,1.75%,14.00%,130.00,6.93%,6.93%
医学八处,37,4810.00,3,390.00,0.75%,6.00%,130.00,8.11%,8.11%
医学九处,82,10660.00,5,650.00,1.25%,10.00%,130.00,6.10%,6.10%
医学十处,61,7930.00,5,650.00,1.25%,10.00%,130.00,8.20%,8.20%
